title,total_sales,critic_score
Ty the Tasmanian Tiger,1.6199999999999999,6.766666666666667
Ty the Tasmanian Tiger 2: Bush Rescue,0.8400000000000001,7.2
Ty the Tasmanian Tiger 3: Night of the Quinkan,0.3,6.233333333333333
Tycoon City: New York,0.02,6.2
UEFA Euro 2008 Austria-Switzerland,0.25,6.9
UFC 2009 Undisputed,3.83,8.4
UFC Personal Trainer: The Ultimate Fitness System,0.99,5.25
UFC Undisputed 2010,2.95,8.233333333333333
Ultimate Fighting Championship: Throwdown,0.08,6.7
Ultimate Ghosts 'n Goblins,0.08,7.3
Ultimate Marvel vs. Capcom 3,0.07,8.3
Ultimate Mortal Kombat,0.09,7.3
Ultimate Muscle - The Kinnikuman Legacy: Legends vs New Generation,0.14,8.0
Ultimate NES Remix,0.33,7.0
Ultra Street Fighter II: The Final Challengers,0.57,7.0
Uncharted 2: Among Thieves,6.74,9.5
Uncharted: Drake's Fortune,4.97,8.7
Uncharted: Golden Abyss,1.62,7.9
Undead Knights,0.12,6.6
Undertale,0.03,9.35
Universal Studios Theme Parks Adventure,0.1,5.1
Unreal Tournament 2003,0.01,9.0
Unreal Tournament 2004,0.02,9.4
Unreal Tournament III,1.2,8.266666666666667
Unsolved Crimes,0.05,6.0
Untold Legends: Brotherhood of the Blade,1.09,6.5
Untold Legends: The Warriors Code,0.33,6.8
Up,0.29,6.5
Urban Reign,0.08,7.5
Vagrant Story,0.87,9.3
Valhalla Knights,0.24,5.2
Valhalla Knights 2,0.23,5.0
Valkyria Chronicles 4,0.19,8.6
Valkyria Chronicles II,0.54,8.1
Vampire Night,0.14,6.4
Vampire Rain,0.21,3.9
Vampire Rain: Altered Species,0.06,3.5
Vancouver 2010 - The Official Video Game of the Olympic Winter Games,0.23,5.0
Vandal Hearts,0.45,7.7
Vandal Hearts II,0.1,7.2
Vanguard Bandits,0.07,6.4
Vanquish,1.03,8.4
Velvet Assassin,0.18,5.75
Venetica,0.3,5.3999999999999995
Vexx,0.4,6.366666666666667
Victoria II,0.0,8.1
Victorious Boxers: Revolution,0.14,5.8
Viewtiful Joe,0.62,9.4
Viewtiful Joe: Red Hot Rumble,0.06,6.2
Viking: Battle for Asgard,0.8200000000000001,6.4
Vin Diesel: Wheelman,0.77,6.7
Virtua Fighter,1.07,9.0
Virtua Fighter 3tb,0.37,8.1
Virtua Fighter 4: Evolution,0.71,8.9
Virtua Fighter 5,1.08,8.7
Virtua Fighter 5 Online,0.28,9.2
Virtua Fighter Kids,0.23,6.6
Virtua Quest,0.01,5.4
Virtua Striker 2002,0.05,6.6
Virtua Tennis 2009,0.75,6.949999999999999
Virtua Tennis 4,0.8300000000000001,6.033333333333334
Viva Pinata,0.02,8.0
Viva Pinata: Party Animals,0.23,5.5
Viva Pinata: Pocket Paradise,0.55,8.1
Viva Pinata: Trouble in Paradise,0.47,8.5
WRC 2: FIA World Rally Championship,0.07,5.8
WWE '12,2.45,8.25
WWE 2K14,2.3200000000000003,7.6
WWE All Stars,0.98,7.433333333333334
WWE Day of Reckoning,0.45,8.1
WWE Day of Reckoning 2,0.34,8.3
WWE SmackDown vs Raw 2008,3.95,7.3
WWE SmackDown vs. RAW 2007,3.74,7.933333333333334
WWE SmackDown vs. Raw 2009,2.5,7.966666666666666
WWE SmackDown vs. Raw 2010,2.94,8.033333333333333
WWE SmackDown vs. Raw 2011,0.88,7.1
WWE SmackDown! vs. RAW 2006,0.4,8.1
WWE SmackDown! vs. Raw 2006,3.0,8.4
WWE Wrestlemania XIX,0.33,7.8
WWF No Mercy,1.5,9.1
WWF Raw (2002),0.55,6.5
WWF SmackDown! 2: Know Your Role,3.2,8.7
Wall-E,2.02,6.833333333333333
Wallace & Gromit in Project Zoo,0.07,6.6
Wanted: Weapons of Fate,0.6599999999999999,6.2
WarCraft II: The Dark Saga,0.31,7.3
"Warhammer 40,000: Dawn of War - Dark Crusade",0.0,8.8
"Warhammer 40,000: Dawn of War II",0.47,8.7
"Warhammer 40,000: Dawn of War II - Chaos Rising",0.1,8.6
"Warhammer 40,000: Dawn of War II - Retribution",0.08,7.9
"Warhammer 40,000: Dawn of War: Soulstorm",0.02,6.9
"Warhammer 40,000: Space Marine",1.01,7.3
"Warhammer 40,000: Squad Command",0.33,6.6
Warhawk,1.06,8.4
Wario World,0.44,7.5
WarioWare D.I.Y.,0.59,8.3
WarioWare Gold,0.28,8.1
Warriors Orochi,0.2,6.4
Warriors Orochi 2,0.48,4.733333333333333
Wave Race: Blue Storm,0.6,8.4
Way of the Samurai 3,0.52,6.5
Wayne Gretzky's 3D Hockey,0.53,8.1
We Dance,0.16,3.5
We Love Katamari,0.52,8.2
Wet,1.12,6.9
Wetrix,0.08,8.6
White Knight Chronicles II,0.63,5.4
White Knight Chronicles: International Edition,0.95,6.3
Wii Fit U,0.86,7.2
Wii Sports Club,0.38,6.7
Wild ARMs,0.95,8.9
Wild ARMs 2,0.67,6.5
Wild ARMs 3,0.62,7.6
Wild ARMs 4,0.14,6.6
Wild ARMs 5,0.28,7.5
Wild ARMs: Alter Code F,0.09,7.2
Winning Eleven: Pro Evolution Soccer 2007,5.25,8.5
Winx Club: Join the Club,0.01,3.6
WipEout HD Fury,0.07,9.1
WipEout Pulse,0.32,8.2
WipEout Pure,1.04,9.1
WipEout XL,0.25,8.8
Wolfenstein,1.23,7.0
Wolfenstein II: The New Colossus,1.4700000000000002,8.65
Wolfenstein: The Old Blood,0.15,8.0
Wonder Boy: The Dragon's Trap (Remake),0.05,7.4
WordJong,0.15,7.5
World Championship Cards,0.2,3.9
World Championship Poker 2: Featuring Howard Lederer,0.14,7.0
World Championship Poker: Howard Lederer - All In,0.14,5.1
World Series of Poker,0.26,4.0
World Series of Poker: Tournament of Champions 2007 Edition,0.34,6.075
World Soccer Winning Eleven 8 International,3.85,9.3
World Soccer Winning Eleven 9,4.06,8.9
World Soccer Winning Eleven 9 (JP & Others sales),1.2,8.0
World Tour Soccer,1.07,7.0
World in Conflict,0.03,9.1
World in Conflict: Soviet Assault,0.0,6.1
World of Final Fantasy,0.62,6.7
World of Goo,0.03,9.0
World of Tanks,0.28,7.8
Worldwide Soccer Manager 2007,0.02,8.9
Worms 3D,0.07,7.5
Worms Reloaded,0.05,8.5
Worms: Open Warfare 2,0.45,8.1
Wreckless: ThE YaKuza MisSiOns,0.06,6.4
X-Blades,0.28,6.1000000000000005
X-Men Legends,3.36,8.466666666666667
X-Men Legends II: Rise of Apocalypse,1.6199999999999999,8.28
X-Men Origins: Wolverine,0.2,5.4
X-Men Origins: Wolverine - Uncaged Edition,1.43,7.05
X-Men: Destiny,0.64,3.825
X-Men: Next Dimension,0.13,7.0
X-Men: The Official Game,0.27,4.85
X2: Wolverine's Revenge,1.17,6.325
XCOM: Enemy Unknown,1.94,8.966666666666667
XGIII: Extreme G Racing,0.15,8.6
XGRA: Extreme G Racing Association,0.02,7.4
Xbox Live Arcade Unplugged Volume 1,0.07,7.4
Xenoblade Chronicles,1.48,8.95
Xenoblade Chronicles 2: Torna ~ The Golden Country,0.16,7.5
Xenoblade Chronicles X,0.84,8.1
Yoku's Island Express,0.04,9.0
You Don't Know Jack,1.11,7.933333333333333
You're in the Movies,0.48,5.1
Your Shape featuring Jenny McCarthy,2.16,6.0
Ys I & II Chronicles,0.09,6.4
Ys Seven,0.23,7.6
Ys VIII: Lacrimosa of Dana,0.11,8.5
Ys: The Ark of Napishtim,0.18,6.75
Ys: The Oath in Felghana,0.15,8.2
Yu-Gi-Oh! 5D's Stardust Accelerator: World Championship 2009,0.4,7.5
Yu-Gi-Oh! 5D's Tag Force 4,0.44,7.0
Yu-Gi-Oh! 5D's Wheelie Breakers,0.1,7.5
Yu-Gi-Oh! 5D's World Championship 2010 Reverse of Arcadia,0.31,7.6
Yu-Gi-Oh! Dark Duel Stories,0.83,6.2
Yu-Gi-Oh! Forbidden Memories (JP sales),0.48,6.3
Yu-Gi-Oh! GX: Tag Force,0.13,6.0
Yu-Gi-Oh! The Falsebound Kingdom,0.71,4.4
Z.H.P. Unlosing Ranger vs Darkdeath Evilman,0.15,8.0
Zack & Wiki: Quest for Barbaros' Treasure,0.42,8.7
Zapper: One Wicked Cricket!,0.34,5.833333333333333
Zatch Bell! Electric Arena,0.03,4.4
Zatch Bell! Mamodo Battles,0.06,7.0
Zero Escape: Virtue's Last Reward,0.03,9.0
Zero Escape: Zero Time Dilemma,0.12,7.7
Zero: Tsukihami no Kamen,0.08,7.5
Zoids Assault,0.09,5.2
Zoids: Battle Legends,0.15,5.0
Zombi,0.07,7.5
ZombiU,0.84,6.9
Zone of the Enders,0.75,7.5
Zone of the Enders: The 2nd Runner,0.41,8.6
Zoo Keeper,0.17,7.2
Zoo Tycoon 2,0.06,7.2
Zoo Tycoon 2 DS,0.29,6.9
Zoo Tycoon 2: African Adventure,0.0,4.0
Zoo Tycoon 2: Endangered Species,0.0,6.2
Zoo Tycoon 2: Extinct Animals,0.01,7.6
Zoo Tycoon DS,0.98,4.6
ZooCube,0.07,7.75
Zubo,0.11,7.5
Zuma's Revenge!,0.01,8.3
[Prototype],2.55,8.0
bit Generations: Boundish,0.0,4.0
bit Generations: Dialhex,0.01,7.0
bit Generations: Dotstream,0.01,8.0
de Blob 2,0.65,7.725
echochrome,0.09,7.6
echoshift,0.0,7.5
inFAMOUS 2,1.87,8.1
