title,total_sales,critic_score
Cooking Mama: Cook Off,2.89,5.9
Cooking Mama: Sweet Shop,0.07,6.0
Corvette,0.28,4.9
Crackdown 2,1.12,7.5
Crash Bandicoot 2: N-Tranced,1.36,7.5
Crash Bandicoot N. Sane Trilogy,1.11,6.0
Crash Bandicoot Purple: Ripto's Rampage,0.64,6.7
Crash Bandicoot: The Huge Adventure,1.73,8.3
Crash Bandicoot: The Wrath of Cortex,6.01,6.45
Crash Bash,3.39,6.8
Crash Nitro Kart,0.46,7.7
Crash Tag Team Racing,0.25,6.3
Crash Team Racing,4.79,9.2
Crash of the Titans,0.96,6.449999999999999
Crash: Mind Over Mutant,0.87,6.15
Crazy Taxi,4.82,8.233333333333333
Crazy Taxi 2,0.07,8.3
Crazy Taxi: Catch a Ride,0.3,4.8
Crazy Taxi: Fare Wars,0.48,6.3
Create,0.36,6.233333333333333
Crime Scene,0.02,8.0
Crimson Gem Saga,0.06,7.3
Crimson Tears,0.03,5.9
Cross Edge,0.23,5.4
"Crouching Tiger, Hidden Dragon",0.03,5.9
Cruis'n Exotica,0.21,5.8
Cruis'n Velocity,0.0,5.3
Crusaders of Might and Magic,0.25,6.0
Crush,0.08,8.5
Crush3D,0.15,6.5
Cryostasis: Sleep of Reason,0.0,7.0
Crysis 2,3.43,8.733333333333333
Crysis 3,1.83,7.8999999999999995
Cubic Ninja,0.1,5.5
Cubivore: Survival of the Fittest,0.17,7.1
Culdcept Revolt,0.07,7.3
Culdcept SAGA,0.16,7.7
Curious George,0.16,6.6
Cursed Mountain,0.21,6.3
Custom Robo Arena,0.16,7.4
DC Universe Online,0.74,6.75
DECA Sports Freedom,0.33,3.0
DJ Hero,3.0900000000000003,8.45
DJ Hero 2,2.23,8.533333333333333
DJ Max Fever,0.13,7.7
DK: King of Swing,0.24,7.1
Daigasso! Band Brothers,0.19,8.0
Damnation,0.16,3.35
Dance Central 2,2.04,8.6
Dance Dance Revolution: Mario Mix,0.47,7.0
Dance Dance Revolution: Mario Mix (JP sales),0.06,7.5
Dance Paradise,0.12,7.0
DanceMasters,0.2,6.2
Danny Phantom: The Ultimate Enemy,0.22,7.5
Dante's Inferno,2.2,6.966666666666666
Daredevil,0.0,5.3
Dark Angel: Vampire Apocalypse,0.09,4.6
Dark Arena,0.04,6.8
Dark Cloud,1.54,8.2
Dark Cloud 2,0.96,8.6
Dark Messiah Might and Magic,0.0,7.3
Dark Messiah of Might and Magic Elements,0.2,5.0
Dark Sector,0.95,7.15
Dark Souls,2.05,9.0
Dark Souls: Remastered,0.11,8.0
Dark Void,0.6799999999999999,6.099999999999999
DarkStar One: Broken Alliance,0.2,6.4
Darkest of Days,0.1,4.6
Darksiders,1.49,7.866666666666667
Darksiders II,1.8,8.366666666666667
Darksiders II: Deathinitive Edition,0.32,7.5
Darkspore,0.11,6.6
Darkstalkers Chronicle: The Chaos Tower,0.15,7.5
Darkstone,0.66,7.1
Data East Arcade Classics,0.09,5.0
Dave Mirra BMX Challenge,0.07,3.5
Dave Mirra Freestyle BMX,1.05,7.4
Dave Mirra Freestyle BMX 2,0.19,8.0
Dave Mirra Freestyle BMX 3,0.03,8.0
David Beckham Soccer,0.0,3.1
Davis Cup Tennis,0.02,6.4
Dawn of Discovery,0.67,8.066666666666668
Dawn of Discovery: Venice,0.01,7.0
Dead Cells,0.11,9.3
Dead Head Fred,0.04,7.6
Dead Island,4.67,6.85
Dead Island: Riptide,1.4300000000000002,6.1
Dead Rising 2,2.8600000000000003,8.149999999999999
Dead Rising 2: Off the Record,0.5900000000000001,7.35
Dead Rising: Chop Till You Drop,0.29,6.7
Dead Space,3.9899999999999998,8.866666666666667
